study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	mean_unit	median_unit
Devineni2015c	normal_hepatic	8.0	CAN300	recovery	M5	urine	LC MS/MS	M5_recovery_CAN300_normal_hepatic	0.0	hr	0.0				0.0			count*mole/kilogram	percent
Devineni2015c	normal_hepatic	8.0	CAN300	recovery	M5	urine	LC MS/MS	M5_recovery_CAN300_normal_hepatic	24.0	hr	0.132130196583951				0.03432162423461166			count*mole/kilogram	percent
