study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	comments	mean_unit	median_unit
Devineni2015c	normal_renal	8.0	CAN200	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN200_normal_renal	0.0	hr	0.0				0.0				g	g
Devineni2015c	normal_renal	8.0	CAN200	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN200_normal_renal	24.0	hr	50.7				3.55				g	g
