study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	mean_unit	median_unit
Devineni2015c	mild_hepatic	8.0	CAN300	recovery	M5	urine	LC MS/MS	M5_recovery_CAN300_mild_heaptic	0.0	hr	0.0				0.0			count*mole/kilogram	percent
Devineni2015c	mild_hepatic	8.0	CAN300	recovery	M5	urine	LC MS/MS	M5_recovery_CAN300_mild_heaptic	24.0	hr	0.1514663229133097				0.04511762810183693			count*mole/kilogram	percent
