study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	mean_unit	median_unit
Devineni2015c	moderate_hepatic	8.0	CAN300	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_cumulative_amount_CAN300_moderate_hepatic	0.0	hr	0.0				0.0			mole	mg
Devineni2015c	moderate_hepatic	8.0	CAN300	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_cumulative_amount_CAN300_moderate_hepatic	24.0	hr	1.012332458978039e-05				2.227131409751686e-06			mole	mg
