study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	mean_unit	median_unit
Devineni2015c	mild_hepatic	8.0	CAN300	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_recovery_CAN300_mild_hepatic	0.0	hr	0.0				0.0			count*mole/kilogram	percent
Devineni2015c	mild_hepatic	8.0	CAN300	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_recovery_CAN300_mild_hepatic	24.0	hr	0.011248138433089323				0.002924515992603224			count*mole/kilogram	percent
